Participant Number,Age,Gender,Ethnicity (simplified),Country of birth,Country of residence,Nationality,First Language
358,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English
359,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English
360,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English
361,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English
362,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English
363,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English
364,38,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English
365,22,Male,Black,Nigeria,United Kingdom,Nigeria,English
366,77,Female,White,United Kingdom,United Kingdom,United Kingdom,English
367,46,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English
368,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English
369,68,Female,White,United Kingdom,United Kingdom,United Kingdom,English
370,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English
371,28,Female,White,Luxembourg,United Kingdom,Luxembourg,German
372,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English
373,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English
374,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English
375,25,Female,Black,Kenya,United Kingdom,Kenya,English
376,60,Female,White,United States,United States,United States,English
377,66,Female,White,United Kingdom,United kingdom,United kingdom,English
378,56,Female,White,South Africa,United Kingdom,United Kingdom,English
379,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English
380,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English
381,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English
382,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English
383,18,Male,Other,United Kingdom,United Kingdom,United Kingdom,English
384,37,Male,Asian,India,United Kingdom,United Kingdom,Hindi
385,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English
386,59,Male,White,Isle of Man,United Kingdom,United Kingdom,English
387,33,Male,Black,Nigeria,United Kingdom,Nigeria,Other
388,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English
389,27,Male,Black,Nigeria,United Kingdom,Nigeria,English
390,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English
391,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English
392,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English
393,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English
394,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English
395,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English
396,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English
397,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English
398,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English
399,42,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English
400,41,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English
401,67,Female,Black,Nigeria,United States,Nigeria,English
402,68,Female,White,United Kingdom,United Kingdom,United Kingdom,English
403,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English
404,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English
405,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English
406,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English
407,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English
408,28,Male,White,United States,United States,United States,English
409,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English
410,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English
411,27,Female,Other,United Kingdom,United Kingdom,United Kingdom,English
412,67,Male,White,United Kingdom,United Kingdom,United Kingdom,English
413,33,Female,White,Italy,United Kingdom,Italy,Italian
414,37,Female,White,United States,United States,United States,English
415,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English
416,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English
417,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English
418,29,Female,Black,Nigeria,United Kingdom,Nigeria,English
419,79,Female,White,United Kingdom,United Kingdom,United Kingdom,English
420,45,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English
421,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English
422,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English
423,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English
